user_id,username,date,start_hour,end_hour,working_minutes
1,hiro,2025-04-01,9.0,18.0,540
2,BBBB,2025-04-01,12.0,21.0,540
1,hiro,2025-04-02,9.0,18.0,540
2,BBBB,2025-04-02,12.0,21.0,540
1,hiro,2025-04-03,10.1,18.0,476
2,BBBB,2025-04-03,12.0,21.0,540
1,hiro,2025-04-04,9.0,18.0,540
2,BBBB,2025-04-04,12.0,21.0,540
1,hiro,2025-04-07,9.0,18.0,540
2,BBBB,2025-04-07,0.0,0.0,0
1,hiro,2025-04-08,9.0,18.0,540
2,BBBB,2025-04-08,12.0,21.0,540
1,hiro,2025-04-09,9.0,18.0,540
2,BBBB,2025-04-09,13.3,21.0,464
1,hiro,2025-04-10,9.0,18.0,540
2,BBBB,2025-04-10,12.0,21.0,540
1,hiro,2025-04-11,0.0,0.0,0
2,BBBB,2025-04-11,12.0,21.0,540
1,hiro,2025-04-14,9.0,18.0,540
2,BBBB,2025-04-14,12.0,21.0,540
1,hiro,2025-04-15,10.6,18.0,443
2,BBBB,2025-04-15,12.0,21.0,540
1,hiro,2025-04-16,9.0,18.0,540
2,BBBB,2025-04-16,12.0,21.0,540
1,hiro,2025-04-17,9.0,16.9,474
2,BBBB,2025-04-17,12.0,20.0,477
1,hiro,2025-04-18,9.0,18.0,540
2,BBBB,2025-04-18,0.0,0.0,0
1,hiro,2025-04-21,9.0,18.0,540
2,BBBB,2025-04-21,12.0,21.0,540
1,hiro,2025-04-22,0.0,0.0,0
2,BBBB,2025-04-22,12.0,21.0,540
1,hiro,2025-04-23,0.0,0.0,0
2,BBBB,2025-04-23,12.0,21.0,540
1,hiro,2025-04-24,9.0,18.0,540
2,BBBB,2025-04-24,12.0,19.7,462
1,hiro,2025-04-25,9.0,18.0,540
2,BBBB,2025-04-25,12.0,21.0,540
1,hiro,2025-04-28,9.0,18.0,540
2,BBBB,2025-04-28,12.0,21.0,540
1,hiro,2025-04-29,9.0,18.0,540
2,BBBB,2025-04-29,12.0,21.0,540
1,hiro,2025-04-30,9.0,18.0,540
2,BBBB,2025-04-30,12.0,21.0,540
