user_id,date,start_hour,working_minutes
user_1,2025-04-01,7.49,510
user_10,2025-04-01,8.11,649
user_2,2025-04-01,7.48,503
user_3,2025-04-01,8.81,455
user_4,2025-04-01,7.89,479
user_5,2025-04-01,9.27,628
user_6,2025-04-01,7.92,616
user_7,2025-04-01,10.72,280
user_8,2025-04-01,11.51,350
user_9,2025-04-01,11.61,361
user_1,2025-04-02,8.58,461
user_10,2025-04-02,8.51,541
user_2,2025-04-02,10.8,532
user_3,2025-04-02,8.2,423
user_4,2025-04-02,10.31,326
user_5,2025-04-02,11.74,358
user_6,2025-04-02,8.28,485
user_7,2025-04-02,7.88,466
user_8,2025-04-02,9.04,457
user_9,2025-04-02,9.5,530
user_1,2025-04-03,8.44,618
user_10,2025-04-03,10.68,308
user_2,2025-04-03,7.22,649
user_3,2025-04-03,8.2,419
user_4,2025-04-03,8.18,439
user_5,2025-04-03,12.02,361
user_6,2025-04-03,7.79,453
user_7,2025-04-03,8.71,588
user_8,2025-04-03,10.62,349
user_9,2025-04-03,8.91,460
user_1,2025-04-04,7.88,480
user_10,2025-04-04,7.9,470
user_2,2025-04-04,9.16,379
user_3,2025-04-04,8.78,416
user_4,2025-04-04,7.86,484
user_5,2025-04-04,8.65,482
user_6,2025-04-04,9.74,310
user_7,2025-04-04,8.57,479
user_8,2025-04-04,10.6,521
user_9,2025-04-04,8.36,449
user_1,2025-04-07,7.99,469
user_10,2025-04-07,8.07,689
user_2,2025-04-07,11.0,323
user_3,2025-04-07,8.34,405
user_4,2025-04-07,9.81,417
user_5,2025-04-07,9.1,503
user_6,2025-04-07,7.98,461
user_7,2025-04-07,11.45,319
user_8,2025-04-07,8.57,492
user_9,2025-04-07,8.52,453
user_1,2025-04-08,7.97,487
user_10,2025-04-08,10.71,335
user_2,2025-04-08,7.92,660
user_3,2025-04-08,11.16,286
user_4,2025-04-08,8.2,495
user_5,2025-04-08,9.1,491
user_6,2025-04-08,8.14,608
user_7,2025-04-08,8.55,431
